iter	RMSE
0	1.436747173
1	1.360359608
2	1.288628196
3	1.221154481
4	1.156616137
5	1.094451279
6	1.037725089
7	0.9848012025
8	0.9353074822
9	0.8849865067
10	0.8396734202
11	0.7982722233
12	0.7591082118
13	0.7200118237
14	0.6833395681
15	0.6490360355
16	0.6182114483
17	0.5872892513
18	0.5603518018
19	0.5334544652
20	0.5087351988
21	0.4836668877
22	0.460470285
23	0.4391347912
24	0.4197033925
25	0.402339831
26	0.3856170712
27	0.3688335161
28	0.3536149781
29	0.3390194038
30	0.3260657239
31	0.313206867
32	0.3013052169
33	0.2911090711
34	0.281475951
35	0.2718751944
36	0.2645653335
37	0.2574410391
38	0.2498543643
39	0.2430240971
40	0.2366200649
41	0.2307879785
42	0.2255749927
43	0.2207695983
44	0.2168661644
45	0.2128517005
46	0.2090608331
47	0.2062664332
48	0.2033814193
49	0.2005019612
50	0.1980129358
51	0.1956475732
52	0.1934210746
53	0.1916674047
54	0.1899929325
55	0.1883779175
56	0.186834465
57	0.1856313627
58	0.184451439
59	0.1833220872
60	0.1825482408
61	0.1816448787
62	0.1808210301
63	0.1800725598
64	0.1794288581
65	0.1788029653
66	0.1782076809
67	0.1776573681
68	0.1771393177
69	0.176766496
70	0.1763445933
71	0.1759302323
72	0.1754829343
73	0.1751774941
74	0.1748920591
75	0.1746246166
76	0.1743799178
77	0.1740977408
78	0.1738037798
79	0.1735907243
80	0.1733506575
81	0.1731753379
82	0.1729759556
83	0.1728022153
84	0.1725884244
85	0.1724216398
86	0.1722905197
87	0.1721386295
88	0.1720098216
89	0.1718779329
90	0.1717523032
91	0.1716703265
92	0.1715789097
93	0.1714680236
94	0.1713687715
95	0.1712666941
96	0.1711597425
97	0.1710968759
98	0.1710145725
99	0.1709631399
100	0.1708720793
101	0.1707970137
102	0.1707214565
103	0.1706511617
104	0.1705357897
105	0.1704282293
106	0.1703276591
107	0.17026903
108	0.1701576584
109	0.1701200997
110	0.1700276918
111	0.1699895818
112	0.1699187123
113	0.1698828139
114	0.1697643215
115	0.1696972294
116	0.1696609694
117	0.1696164306
118	0.1695568343
119	0.169457729
120	0.1694058432
121	0.1693790195
122	0.1692906719
123	0.169255662
124	0.1691946087
125	0.1691421194
126	0.1690928136
127	0.1690438787
128	0.168930252
129	0.1688289675
130	0.1687719834
131	0.1687293773
132	0.1686268733
133	0.1685829371
134	0.1685437944
135	0.1685090444
136	0.1684722821
137	0.1683494642
138	0.1682429411
139	0.1681795721
140	0.1681329347
141	0.16810611
142	0.1680022205
143	0.1679812316
144	0.1679684799
145	0.1679377534
146	0.1678953116
147	0.1677999065
148	0.1677855067
149	0.1677387185
150	0.1677012174
151	0.1676725803
152	0.1676401293
153	0.1675830787
154	0.1675499671
155	0.1675284426
156	0.1674331721
157	0.1673932236
158	0.1673781843
159	0.1672925715
160	0.1672322261
161	0.1671612536
162	0.1671186089
163	0.1669982012
164	0.1669356167
165	0.1668928533
166	0.166816612
167	0.1667804844
168	0.1667487363
169	0.1666922281
170	0.1666219082
171	0.1665342272
172	0.166463921
173	0.1664233126
174	0.1663688054
175	0.1662808809
176	0.1662588435
177	0.1662177412
178	0.1661540132
179	0.1661265987
180	0.1660583087
181	0.1660065545
182	0.1659690275
183	0.1659274929
184	0.1658692528
185	0.1658256261
186	0.1658046746
187	0.1657506931
188	0.1657185626
189	0.1656812518
190	0.1656304386
191	0.1655751015
192	0.1655075594
193	0.1654542709
194	0.1654268842
195	0.1653916922
196	0.1653421869
197	0.1652883588
198	0.1652072576
199	0.1651330704
200	0.1650748095
201	0.1650437212
202	0.1650129836
203	0.1649441451
204	0.1649073739
205	0.1648544657
206	0.1647890624
207	0.164732116
208	0.1647000875
209	0.1646718597
210	0.1645928404
211	0.1645492895
212	0.164513258
213	0.1644464282
214	0.1644218697
215	0.1643754826
216	0.164355532
217	0.1643054338
218	0.1642337592
219	0.164187826
220	0.1641562833
221	0.1640826027
222	0.1640477508
223	0.1639969658
224	0.1639322671
225	0.1639168742
226	0.1638817337
227	0.1638426923
228	0.1637980562
229	0.1637284536
230	0.1636779697
231	0.1636526455
232	0.1636203232
233	0.1635892687
234	0.1635311792
235	0.1634848392
236	0.1634375899
237	0.1634105805
238	0.1633753323
239	0.1633481309
240	0.1632854018
241	0.1632562143
242	0.1632017682
243	0.163144625
244	0.163081434
245	0.1630541011
246	0.1630063401
247	0.1629815043
248	0.1629333299
249	0.1628834599
250	0.1628116425
251	0.1627804716
252	0.162743283
253	0.1626750747
254	0.1626478782
255	0.1625954095
256	0.1625005609
257	0.1624020606
258	0.1623786511
259	0.1623518267
260	0.1623156959
261	0.1622747206
262	0.1622499058
263	0.1621894088
264	0.1621047198
265	0.1620809513
266	0.1620546816
267	0.1619687223
268	0.161908933
269	0.1618627043
270	0.161830017
271	0.1618035186
272	0.1617352729
273	0.1616927904
274	0.1616696196
275	0.1616235999
276	0.1615655637
277	0.1615390068
278	0.1614706959
279	0.1614383028
280	0.1614140986
281	0.1613858068
282	0.161366076
283	0.1613160394
284	0.1612234108
285	0.1611718559
286	0.1611537536
287	0.1610768397
288	0.1609820903
289	0.1609123814
290	0.1608811986
291	0.1608114084
292	0.1607869276
293	0.1607519263
294	0.1606907915
295	0.1606739591
296	0.1606571046
297	0.1606178032
298	0.1605636131
299	0.1605516371
300	0.1605279887
301	0.160507677
302	0.1604945372
303	0.1604583558
304	0.1603874859
305	0.1603662909
306	0.1603376527
307	0.1602920867
308	0.1602689385
309	0.1601936375
310	0.1601192507
311	0.160075627
312	0.160057705
313	0.1599804043
314	0.1599538719
315	0.1599411833
316	0.1599240066
317	0.1598809417
318	0.1598202077
319	0.1597491405
320	0.1597342545
321	0.1596700687
322	0.1596141731
323	0.159593903
324	0.1595737032
325	0.1595112817
326	0.1594427136
327	0.1593864862
328	0.1593537223
329	0.1593355264
330	0.1592856333
331	0.159222482
